Sol no,Before,After,Diff
1,water: 20860776000.0,water: 18727228173.21,water: 2133547826.79
1,area: 5313097.1,area: 4698974.85,area: 614122.25
1,production: 43578316.11,production: 42938161.22,production: -640154.89
----------,----------,--------------,-------------
2,production: 20860776000.0,production: 19361910179.52,production: 1498865820.48
2,area: 5313097.1,area: 4730105.19,area: 582991.91
2,production: 43578316.11,production: 43259993.83,production: -318322.28
----------,----------,--------------,-------------
3,production: 20860776000.0,production: 20163015895.37,production: 697760104.63
3,area: 5313097.1,area: 5005917.98,area: 307179.12
3,production: 43578316.11,production: 43953107.96,production: 374791.85
----------,----------,--------------,-------------
4,production: 20860776000.0,production: 22876201154.24,production: -2015425154.24
4,area: 5313097.1,area: 4979206.05,area: 333891.05
4,production: 43578316.11,production: 40900405.37,production: -2677910.74
----------,----------,--------------,-------------
5,production: 20860776000.0,production: 20353298963.07,production: 507477036.93
5,area: 5313097.1,area: 5082818.48,area: 230278.62
5,production: 43578316.11,production: 41681158.55,production: -1897157.56
----------,----------,--------------,-------------
6,production: 20860776000.0,production: 20772933562.93,production: 87842437.07
6,area: 5313097.1,area: 5175924.2,area: 137172.9
6,production: 43578316.11,production: 41759781.97,production: -1818534.14
----------,----------,--------------,-------------
7,production: 20860776000.0,production: 20485450225.38,production: 375325774.62
7,area: 5313097.1,area: 5249560.51,area: 63536.59
7,production: 43578316.11,production: 40270349.62,production: -3307966.49
----------,----------,--------------,-------------
8,production: 20860776000.0,production: 21742869792.43,production: -882093792.43
8,area: 5313097.1,area: 5036401.41,area: 276695.69
8,production: 43578316.11,production: 38397990.18,production: -5180325.93
----------,----------,--------------,-------------
9,production: 20860776000.0,production: 21916586607.33,production: -1055810607.33
9,area: 5313097.1,area: 5064290.66,area: 248806.44
9,production: 43578316.11,production: 38672742.13,production: -4905573.98
----------,----------,--------------,-------------
10,production: 20860776000.0,production: 22286475975.45,production: -1425699975.45
10,area: 5313097.1,area: 5060127.76,area: 252969.34
10,production: 43578316.11,production: 39026163.07,production: -4552153.04
----------,----------,--------------,-------------
11,production: 20860776000.0,production: 21180612347.18,production: -319836347.18
11,area: 5313097.1,area: 5097034.2,area: 216062.9
11,production: 43578316.11,production: 40504731.51,production: -3073584.6
----------,----------,--------------,-------------
12,production: 20860776000.0,production: 21695493762.51,production: -834717762.51
12,area: 5313097.1,area: 5163121.1,area: 149976.0
12,production: 43578316.11,production: 40583712.73,production: -2994603.37
----------,----------,--------------,-------------
13,production: 20860776000.0,production: 19525548562.74,production: 1335227437.26
13,area: 5313097.1,area: 5162469.2,area: 150627.9
13,production: 43578316.11,production: 41021002.84,production: -2557313.27
