sol_index,City,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions
Orginal,Cairo,Water,0.0,0.0,63000.0,0.0,0.0,3000.0,0.0,286000.0,0.0,0.0,0,0
Orginal,Cairo,Area,0.0,0.0,8.0,0.0,0.0,1.0,0.0,33595.90608274682,0.0,0.0,0,0
Orginal,Cairo,Production,0.0,0.0,232.0,0.0,0.0,0.5,0.0,520342.20567910385,0.0,0.0,0,0
Orginal,Alexandria,Water,4552000.0,21484000.0,367000.0,259000.0,108267000.0,3386000.0,2476000.0,0,0,0,0,0
Orginal,Alexandria,Area,2465.0,46737.0,620.0,1665.0,79971.15326299384,1708.0,2065.0,0,0,0,0,0
Orginal,Alexandria,Production,9218.0,137891.0,571.0,659.0,1238614.1983215604,1929.0,26028.0,0,0,0,0,0
Orginal,Port said,Water,117485000.0,0.0,33646000.0,0.0,0.0,0.0,3983000.0,0.0,1018000.0,19270000.0,46353000.0,0.0
Orginal,Port said,Area,18195.0,0.0,9849.0,0.0,0.0,0.0,1306.0,0.0,2085.940654259328,6198.0,15143.0,0.0
Orginal,Port said,Production,54694.0,0.0,24093.0,0.0,0.0,0.0,580.0,0.0,32307.595999335776,6345.0,222730.0,0.0
Orginal,Suez,Water,0.0,0.0,16101000.0,0.0,0.0,0.0,583000.0,0.0,6101000.0,0.0,8534000.0,0.0
Orginal,Suez,Area,0.0,0.0,5187.0,0.0,0.0,0.0,328.0,0.0,3940.0,0.0,2999.0,0.0
Orginal,Suez,Production,0.0,0.0,11311.0,0.0,0.0,0.0,146.0,0.0,34596.45,0.0,40147.0,0.0
Orginal,Damietta,Water,269677000.0,0.0,10418000.0,63000.0,0.0,80000.0,6000.0,0.0,90410000.0,27017000.0,31109000.0,149000.0
Orginal,Damietta,Area,47059.0,0.0,2393.0,8.0,0.0,25.0,2.0,0.0,87887.0,8721.0,10163.0,92.0
Orginal,Damietta,Production,162307.0,0.0,7618.0,205.0,0.0,35.0,1.0,0.0,1361220.0,9925.0,98519.0,1298.0
Orginal,Dakahlia,Water,1310861000.0,0.0,207399000.0,1974000.0,149000.0,21594000.0,1022000.0,0.0,158738000.0,118269000.0,33396000.0,533000.0
Orginal,Dakahlia,Area,228275.0,0.0,155024.0,252.0,52.0,6749.0,335.0,0.0,2085.940654259328,51858.0,10913.0,287.0
Orginal,Dakahlia,Production,832509.0,0.0,604316.0,9708.0,41.0,8307.0,146.0,0.0,32307.595999335776,78104.0,185591.0,3695.0
Orginal,Sharkia,Water,975672000.0,0.0,779188000.0,0.0,1082000.0,3106000.0,28938000.0,48230000.0,132980000.0,121985000.0,72215000.0,4000.0
Orginal,Sharkia,Area,187054.0,0.0,290789.0,0.0,377.0,1136.0,12447.0,18625.0,33595.90608274682,49522.0,32773.0,2.5
Orginal,Sharkia,Production,632597.0,0.0,1014374.0,0.0,311.0,1334.0,7473.0,29211.0,520342.20567910385,69281.0,667529.0,31.0
Orginal,Quliubiya,Water,12475000.0,0.0,255265000.0,3291000.0,0.0,813000.0,92000.0,1446000.0,40937000.0,224000.0,36212000.0,0.0
Orginal,Quliubiya,Area,1932.0,0.0,84462.0,420.0,0.0,254.0,30.0,474.0,79971.15326299384,72.0,11830.0,0.0
Orginal,Quliubiya,Production,5945.0,0.0,286364.0,14067.0,0.0,384.0,16.0,758.0,1238614.1983215604,81.0,182395.0,0.0
Orginal,Kafr el sheikh,Water,1195849000.0,0.0,219270000.0,752000.0,0.0,541000.0,522000.0,18000.0,88715000.0,327496000.0,75845000.0,0.0
Orginal,Kafr el sheikh,Area,190460.0,0.0,69365.0,96.0,0.0,169.0,171.0,6.0,2175.940654259328,106541.0,24783.0,0.0
Orginal,Kafr el sheikh,Production,760126.0,0.0,245253.0,3959.0,0.0,155.0,94.0,7.0,32307.595999335776,119529.0,336737.0,0.0
Orginal,Gharbia,Water,387853000.0,0.0,249533000.0,0.0,34000.0,2133000.0,683000.0,223000.0,70556000.0,44263000.0,17644000.0,0.0
Orginal,Gharbia,Area,60067.0,0.0,110279.0,0.0,12.0,666.0,224.0,73.0,33595.90608274682,14237.0,5764.0,0.0
Orginal,Gharbia,Production,222849.0,0.0,363272.0,0.0,36.0,886.0,129.0,100.0,520342.20567910385,20046.0,69079.0,0.0
Orginal,Monoufia,Water,0.0,0.0,689161000.0,0.0,0.0,42000.0,912000.0,166071000.0,7511000.0,3291000.0,744000.0,0
Orginal,Monoufia,Area,0.0,0.0,168697.0,0.0,0.0,13.0,299.0,79971.15326299384,2416.0,1075.0,345.0,0
Orginal,Monoufia,Production,0.0,0.0,629690.0,0.0,0.0,38.0,469.0,1238614.1983215604,3516.0,12642.0,4704.0,0
Orginal,Behaira,Water,751795000.0,0.0,868114000.0,337000.0,7035000.0,544000.0,30653000.0,26962000.0,401184000.0,179007000.0,69221000.0,896000.0
Orginal,Behaira,Area,116431.0,0.0,290455.0,43.0,3952.0,170.0,10400.0,10840.0,2085.940654259328,57577.0,22614.0,606.0
Orginal,Behaira,Production,419967.0,0.0,974584.0,1141.0,4358.0,232.0,6442.0,15588.0,32307.595999335776,68557.0,268329.0,9157.0
Orginal,Ismailia,Water,29896000.0,0.0,99076000.0,0.0,0.0,23000.0,6722000.0,13401000.0,70098000.0,1455000.0,10710000.0,15000.0
Orginal,Ismailia,Area,4710.0,0.0,34571.0,0.0,0.0,23.0,3576.0,8320.0,32505.705042007296,1735.0,5156.0,21.0
