sol_index,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions,Total
orginal,prod,3118533.0,802139.0,7187722.0,15823103.0,11057.0,46569.0,29689.5,83672.0,11620962.541998671,423574.0,3517169.0,63707.0,42727897.04
orginal,water,5060741000.0,1398072000.0,7444171000.0,2848673000.0,23000000.0,146341000.0,120302000.0,116852000.0,1760251000.0,989151000.0,825151000.0,12088000.0,20744793000.0
orginal,area,857334.0,365499.0,2293891.0,327421.0,10175.0,37909.0,51026.0,53017.0,650229.5021210207,334028.0,264902.0,4112.5,5249544.0
2,prod,3207777.7394363773,768404.6050696756,7121982.94,11444967.030000003,10596.57,47018.68999999999,28765.394999999993,83908.72,11405346.158739554,425782.74,3529523.48,10486.0,38084560.07
2,water,5038533055.390505,932054648.6337967,8043860439.201805,2515180905.493056,20000849.78723404,66908499.47368421,78210467.30140182,86223156.5055329,124420123.85823873,838029021.0864618,1556512167.2954183,1049000.0,19300982334.03
2,area,927522.9060827468,325431.1903964231,2256869.396137699,328708.91397732554,9570.343829787234,20864.130789473682,45787.36709112147,51771.21240535818,275807.7793590673,293951.9692377702,441226.49379343283,700.5,4978212.2
20,prod,2653993.78303875,776425.9950696756,7193862.880000001,11603198.060000002,10707.140000000025,47484.37999999996,29062.290000000005,84745.44,11523422.28115954,430018.48,3564726.96,9157.0,37926804.69
20,water,4157605565.2131352,1475766729.7176259,7990521579.452535,2574516572.9622226,20081560.458265156,62117314.736842066,91984192.00155762,91887939.10308677,185866676.5945091,1027814730.8039987,921263878.8286192,896000.0000000001,18600322739.87
20,area,781662.4060827468,377032.87429890863,2454149.653036897,338332.34511339926,9614.499443535198,18651.28789473683,50137.21510124611,53801.95218404193,282347.362067858,307933.5069758794,282279.12605412985,606.0,4956548.23
21,prod,2543150.481246219,776425.9950696756,7193862.879999998,11603198.06,10707.140000000025,47484.38000000002,29062.290000000008,84745.43999999999,11523422.281159543,450165.94702119724,3564726.96,9188.0,37836139.85
21,water,3986648848.778309,1476029866.4120042,8437675715.61055,2573453951.0923753,20081560.458265156,74529893.68421055,92073940.44392526,90966399.20792077,191019510.4775957,957223848.7133712,791625539.829215,900000.0000000001,18692229074.71
21,area,748886.9060827468,424973.50909717625,2466177.650029944,337995.1977774708,9614.499443535198,22558.41947368422,50239.3638551402,53875.81881188118,285297.5929239825,314961.7337893096,240310.7867279193,608.5,4955499.98
22,prod,3207777.7394363773,776425.9950696756,7126144.248422912,11603198.060000004,10707.140000000005,47484.38,29062.29,84745.44,11523422.28115954,430018.48,3564726.96,10486.0,38414199.01
