water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,3880226201.29,-1180514798.71,857334.0,781859.06,-75474.94,3118533.0,2684197.59,-434335.41,Rice
1398072000.0,959209808.45,-438862191.55,365499.0,349613.17,-15885.83,802139.0,818181.78,16042.78,Maize
7444348000.0,7442896768.62,-1451231.38,2294029.0,2252242.32,-41786.68,7187994.0,7264035.25,76041.25,Sorghum
2848673000.0,3156579303.9,307906303.9,327421.0,418140.66,90719.66,15823103.0,16139565.06,316462.06,Sugar cane
23000000.0,27949504.25,4949504.25,10175.0,12297.92,2122.92,11057.0,11278.14,221.14,Sunflower
146341000.0,66591209.47,-79749790.53,37909.0,20867.45,-17041.55,46569.0,47500.38,931.38,Soybean
120302000.0,79189940.44,-41112059.56,51026.0,48425.36,-2600.64,29689.5,30283.29,593.79,Sesame
116852000.0,87116993.85,-29735006.15,53017.0,52754.86,-262.14,83672.0,85345.44,1673.44,Peanuts
1796945000.0,134458184.16,-1662486815.84,651302.2,316794.34,-334507.86,11807612.24,12043764.49,236152.25,vegetables
989151000.0,844745554.4,-144405445.6,334028.0,297707.53,-36320.47,423574.0,432045.48,8471.48,Cotton
825916000.0,1580728684.83,754812684.83,265203.0,447379.34,182176.34,3520348.0,3590754.96,70406.96,Green folder
12088000.0,1064000.0,-11024000.0,4112.5,721.5,-3391.0,63707.0,10701.0,-53006.0,Fully grown Onions
