sol_index,Crop_Name,Water,Area,Production
Orginal,Rice,5060741000.0,857334.0,3118533.0
Orginal,Maize,1398072000.0,365499.0,802139.0
Orginal,Sorghum,7444171000.0,2293891.0,7187722.0
Orginal,Sugar cane,2848673000.0,327421.0,15823103.0
Orginal,Sunflower,23000000.0,10175.0,11057.0
Orginal,Soybean,146341000.0,37909.0,46569.0
Orginal,Sesame,120302000.0,51026.0,29689.5
Orginal,Peanuts,116852000.0,53017.0,83672.0
Orginal,vegetables,1760251000.0,650229.5021210207,11620962.541998671
Orginal,Cotton,989151000.0,334028.0,423574.0
Orginal,Green folder,825151000.0,264902.0,3517169.0
Orginal,Fully grown Onions,12088000.0,4112.5,63707.0
Orginal,Medical and Aromatic plants,53021000.0,42695.5,262768.5
2,Rice,5038533055.390505,927522.9060827468,3207777.7394363773
2,Maize,932054648.6337967,325431.1903964231,768404.6050696756
2,Sorghum,8043860439.201805,2256869.396137699,7121982.94
2,Sugar cane,2515180905.493056,328708.91397732554,11444967.030000003
2,Sunflower,20000849.78723404,9570.343829787234,10596.57
2,Soybean,66908499.47368421,20864.130789473682,47018.68999999999
2,Sesame,78210467.30140182,45787.36709112147,28765.394999999993
2,Peanuts,86223156.5055329,51771.21240535818,83908.72
2,vegetables,124420123.85823873,275807.7793590673,11405346.158739554
2,Cotton,838029021.0864618,293951.9692377702,425782.74
2,Green folder,1556512167.2954183,441226.49379343283,3529523.48
2,Fully grown Onions,1049000.0,700.5,10486.0
20,Rice,4157605565.2131352,781662.4060827468,2653993.78303875
20,Maize,1475766729.7176259,377032.87429890863,776425.9950696756
20,Sorghum,7990521579.452535,2454149.653036897,7193862.880000001
20,Sugar cane,2574516572.9622226,338332.34511339926,11603198.060000002
20,Sunflower,20081560.458265156,9614.499443535198,10707.140000000025
20,Soybean,62117314.736842066,18651.28789473683,47484.37999999996
20,Sesame,91984192.00155762,50137.21510124611,29062.290000000005
20,Peanuts,91887939.10308677,53801.95218404193,84745.44
20,vegetables,185866676.5945091,282347.362067858,11523422.28115954
20,Cotton,1027814730.8039987,307933.5069758794,430018.48
20,Green folder,921263878.8286192,282279.12605412985,3564726.96
20,Fully grown Onions,896000.0000000001,606.0,9157.0
