Sol no,Before,After,Diff
1,water: 12646947000.0,water: 14887325543.87,water: -2240378543.87
1,area: 5916565.77,area: 5698181.27,area: 218384.5
1,production: 72653065.73,production: 73419678.48,production: 766612.74
----------,----------,--------------,-------------
2,production: 12646947000.0,production: 12647177496.4,production: -230496.4
2,area: 5916565.77,area: 5837488.91,area: 79076.86
2,production: 72653065.73,production: 73120585.77,production: 467520.04
----------,----------,--------------,-------------
3,production: 12646947000.0,production: 20650386311.98,production: -8003439311.98
3,area: 5916565.77,area: 5845504.19,area: 71061.58
3,production: 72653065.73,production: 73106895.38,production: 453829.65
----------,----------,--------------,-------------
4,production: 12646947000.0,production: 12079622543.51,production: 567324456.49
4,area: 5916565.77,area: 5666008.04,area: 250557.73
4,production: 72653065.73,production: 73367421.51,production: 714355.77
----------,----------,--------------,-------------
5,production: 12646947000.0,production: 14403295541.54,production: -1756348541.54
5,area: 5916565.77,area: 5849940.64,area: 66625.13
5,production: 72653065.73,production: 73061095.89,production: 408030.16
----------,----------,--------------,-------------
6,production: 12646947000.0,production: 11646856063.04,production: 1000090936.96
6,area: 5916565.77,area: 5855852.75,area: 60713.02
6,production: 72653065.73,production: 73379682.42,production: 726616.69
----------,----------,--------------,-------------
7,production: 12646947000.0,production: 12310449707.88,production: 336497292.12
7,area: 5916565.77,area: 5900684.77,area: 15881.0
7,production: 72653065.73,production: 73040302.86,production: 387237.13
----------,----------,--------------,-------------
8,production: 12646947000.0,production: 11295679880.72,production: 1351267119.28
8,area: 5916565.77,area: 5900684.77,area: 15881.0
8,production: 72653065.73,production: 72947901.06,production: 294835.33
----------,----------,--------------,-------------
9,production: 12646947000.0,production: 11931673570.06,production: 715273429.94
9,area: 5916565.77,area: 5857863.61,area: 58702.16
9,production: 72653065.73,production: 71272363.64,production: -1380702.09
----------,----------,--------------,-------------
10,production: 12646947000.0,production: 12462049454.87,production: 184897545.13
10,area: 5916565.77,area: 5853110.45,area: 63455.32
10,production: 72653065.73,production: 73379798.97,production: 726733.24
----------,----------,--------------,-------------
11,production: 12646947000.0,production: 13703190621.27,production: -1056243621.27
11,area: 5916565.77,area: 5895284.2,area: 21281.57
11,production: 72653065.73,production: 73378001.97,production: 724936.24
----------,----------,--------------,-------------
12,production: 12646947000.0,production: 13194246742.25,production: -547299742.25
12,area: 5916565.77,area: 5906308.56,area: 10257.21
