water,area,prod,city,name,visited,rank,season,region_name
30295000.0,52528.0,166371.0,Aswan,Wheat,1,1,,
42483000.0,68935.0,176066.0,Alexandria,Wheat,1,2,,
41892402.98961752,41133.94065425933,103930.40834227682,Ismailia,Wheat,1,3,,
56834094.01350116,41868.0,75231.1257387305,Luxor,Wheat,1,4,,
9860826.909600561,6118.0,15591.89663629993,Suez,Wheat,1,5,,
42237262.71220133,25177.0,65554.48988192264,Damietta,Wheat,1,6,,
419240000.0,240117.0,967375.0,Dakahlia,Wheat,1,7,,
650391070.5843481,372365.94065425935,926597.5135400932,Sharkia,Wheat,1,8,,
759115875.5925568,429720.15326299384,1181577.1470132072,Behaira,Wheat,1,9,,
58000.0,32.0,68.0,Cairo,Wheat,1,10,,
424670091.6958361,233280.0,590693.7950050465,Kafr el sheikh,Wheat,1,11,,
225513877.11157903,122480.0,329189.57897043554,Qena,Wheat,1,12,,
290865986.34816515,157821.9060827468,487196.87455412606,Monoufia,Wheat,1,13,,
252599821.5919808,137058.94065425932,345693.43309866,Gharbia,Wheat,1,14,,
86507000.0,46938.0,134759.0,Quliubiya,Wheat,1,15,,
29742913.164006893,16138.0,40449.58807222597,Port said,Wheat,1,16,,
87328065.12121406,46063.49679903095,134136.19993509806,Giza,Wheat,1,17,,
458857000.0,235847.0,631829.0,Minya,Wheat,1,18,,
258464000.0,124336.0,347344.0,Beni sweif,Wheat,1,19,,
623325316.6640759,281157.0,738037.4892118763,Fayoum,Wheat,1,20,,
547778000.0,222190.0,579375.0,Assuit,Wheat,1,21,,
0,0,0,Sohag,Wheat,1,22,,
0,0,0,Beni sweif,Barley,1,1,,
185000.0,1710.0,1536.0,Aswan,Barley,1,2,,
206000.0,1061.0,2004.0,Minya,Barley,1,3,,
120000.0,411.0,727.0,Assuit,Barley,1,4,,
322000.0,884.0,1612.0,Giza,Barley,1,5,,
19000.0,47.0,78.0,Dakahlia,Barley,1,6,,
826000.0,1984.0,2744.0,Alexandria,Barley,1,7,,
402000.0,856.0,1687.0,Behaira,Barley,1,8,,
152000.0,311.0,353.0,Qena,Barley,1,9,,
762000.0,1488.0,2263.0,Ismailia,Barley,1,10,,
4886096.657534241,8770.943999999989,14618.239999999982,Sohag,Barley,1,11,,
0,0,0,Sharkia,Barley,1,12,,
0,0,0,Suez,Barley,1,13,,
0,0,0,Port said,Barley,1,14,,
0,0,0,Kafr el sheikh,Barley,1,15,,
0,0,0,Cairo,Barley,1,16,,
0,0,0,Luxor,Barley,1,17,,
0,0,0,Monoufia,Barley,1,18,,
0,0,0,Gharbia,Barley,1,19,,
0,0,0,Fayoum,Barley,1,20,,
0,0,0,Damietta,Barley,1,21,,
0,0,0,Quliubiya,Barley,0,22,,
4522000.0,4949.0,51132.0,Ismailia,Forestation Alfalfa,1,1,,
3932000.0,4001.0,54990.0,Alexandria,Forestation Alfalfa,1,2,,
19472000.0,15096.0,121925.0,Dakahlia,Forestation Alfalfa,1,3,,
12525999.999999998,9197.0,120651.0,Monoufia,Forestation Alfalfa,1,4,,
5042000.0,3702.0,45256.0,Sharkia,Forestation Alfalfa,1,5,,
91465000.0,67155.0,591391.0,Behaira,Forestation Alfalfa,1,6,,
39505000.0,29005.0,529768.0,Kafr el sheikh,Forestation Alfalfa,1,7,,
10835000.0,7955.0,142953.0,Gharbia,Forestation Alfalfa,1,8,,
5936000.0,4358.0,50315.0,Quliubiya,Forestation Alfalfa,1,9,,
4021000.0,2952.0,26370.0,Damietta,Forestation Alfalfa,1,10,,
9992000.0,5896.0,62932.0,Giza,Forestation Alfalfa,1,11,,
6271000.0,3559.0,32657.0,Fayoum,Forestation Alfalfa,1,12,,
1392000.0,790.0,14614.0,Minya,Forestation Alfalfa,1,13,,
11687515.901478501,5967.735555591324,130615.66000000038,Sohag,Forestation Alfalfa,1,14,,
0,0,0,Assuit,Forestation Alfalfa,1,15,,
0,0,0,Aswan,Forestation Alfalfa,0,16,,
0,0,0,Beni sweif,Forestation Alfalfa,0,17,,
