sol_index,Labels,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others,Total
orginal,prod,7879443.0,27262.0,1936833.0,37233187.0,12454124.650643785,302729.0,66035.0,1585.0,2752.0,6331.0,196.0,9774089.0,2539637.0,286800.0,66266.0,63812.08123531387,72641081.73
orginal,water,5367107000.0,15098000.0,225658000.0,4765143000.0,997483000.0,86172000.0,78122000.0,1485000.0,4960000.0,13789000.0,147000.0,740683000.0,240018000.0,79471000.0,19539000.0,10984000.0,12645859000.0
orginal,area,2856050.0,20603.0,164037.0,1329993.0,735440.1204323738,58733.0,49777.0,1561.0,2711.0,5600.0,245.0,470998.0,163687.0,41433.0,13438.0,1380.648651672821,5915686.77
3,prod,7776039.020685349,28076.62000000004,1905069.3300000005,37254775.61999999,11344773.44882866,297884.29000000004,65069.34999999998,1336.7474747474748,3204.5199999999836,3258.3099999999977,64.95999999999721,7377445.889999999,1672129.3700000003,283753.0,42095.0,62202.08123531387,68117177.56
3,water,5419795825.306242,6013495.868263477,206974733.87688604,4878917494.888169,259601259.4897464,104401323.7430868,65644141.8181818,1167323.2323232323,4890414.965986373,8609267.999999993,144919.9999999944,774039322.0219326,142813352.99302638,60453353.26842837,12593000.0,10900000.0,11956959229.47
3,area,2695939.352041624,18300.791826347326,151590.64899923597,1383350.8548493607,691965.702794599,62875.62617683923,51638.29954545453,1288.0,3442.114081632637,3394.3099999999977,105.53379310344462,355562.0232908855,105238.07555611126,29798.634214186368,8496.0,1219.648651672821,5564205.62
5,prod,7780077.305504872,28076.62000000004,1905069.3300000003,37254775.62,11344773.448828664,297884.29,65069.35000000001,1384.0,2770.520000000013,3258.3099999999977,77.95999999999721,7377445.890000003,1672129.3700000003,283753.0,54671.70750593825,62202.08123531387,68133418.8
5,water,4763060704.116314,4106495.868263477,256642521.0959366,4746671546.672061,401537566.104324,111667025.58926511,77984141.81818181,1305000.0,7706414.965986412,8609267.999999993,149919.9999999944,872949520.0936633,135523687.2413501,109100666.54355186,17000730.812617846,10900000.0,11524915208.92
5,area,2752191.2073658723,18655.791826347326,176226.34836237258,1282916.3333150784,687631.0292525971,68911.17413171925,58607.68152300499,1360.0,4765.114081632666,3394.3099999999977,108.53379310344462,356696.1538693736,97931.51206904187,43405.159556786704,11450.618022449551,1219.648651672821,5565470.62
6,prod,7437624.12351325,28076.62000000004,1905069.33,37254775.62,11344773.448828664,297884.29,65069.35,1384.0,2770.5199999999986,3258.3099999999977,64.95999999999721,7377445.890000001,1672129.3699999999,283753.0,53778.0,62202.08123531387,67790058.91
6,water,7974205398.461252,2958495.868263477,240026798.0350308,2475349290.293944,252044755.02516383,112456154.34428838,64789141.81818182,1305000.0,6741414.965986392,8609267.999999993,144919.9999999944,831888251.669989,135589352.99302635,54044152.35807309,16734000.0,10900000.0,12187786393.83
6,area,2865782.5664856774,15787.791826347326,168602.1547132315,1175340.2613845454,705093.72708561,69584.41081257709,51271.299545454545,1360.0,4393.1140816326515,3394.3099999999977,105.53379310344462,354863.5428485486,108734.07555611123,27402.179036540652,11271.0,1219.648651672821,5564205.62
7,prod,7344499.323623849,28076.62000000004,1905069.3300000003,37254775.62,11344773.44882866,297884.29000000004,65069.35000000002,1384.0,3204.5199999999836,3258.3099999999977,64.95999999999721,7377445.890000001,1672129.37,283753.0,54067.0,62202.08123531387,67697657.11
7,water,6975903416.00337,2958495.868263477,236300999.18639195,2475677389.866128,246352323.26074368,112543045.1054391,64789141.81818184,1305000.0,6741414.965986373,8609267.999999993,144919.9999999944,823066234.3021502,135589352.99302638,55308565.305348344,16827000.0,10900000.0,11173016566.68
7,area,2865454.9344194876,15787.791826347326,167476.7641690909,1175506.2530465412,705777.8390514299,69650.3357021645,51271.29954545456,1360.0,4393.114081632637,3394.3099999999977,105.53379310344462,354524.06330384803,108734.07555611125,28216.65267416867,11333.0,1219.648651672821,5564205.62
9,prod,7780077.305504871,28961.619999999995,1905069.33,37254775.61999999,11344773.448828662,297884.2900000001,65069.34999999999,1384.0,2743.0,3195.0,63.0,7377445.890000001,1672129.37,283753.0,54067.0,62202.08123531387,68133593.31
9,water,4934566211.914513,6926061.072902338,233165674.41681725,4961035376.234829,801196521.5573096,113666175.5315721,77428502.06611568,1305000.0,4957000.0,8432000.0,114000.0,820636782.205883,241746002.38201404,107219176.97753157,16827000.0,10900000.0,12340121484.36
9,area,2786727.394283873,22020.459174690506,166592.5224444989,1337971.6361966445,590741.6842986102,70767.49294562929,50615.359366391174,1360.0,2700.0,3331.0,85.0,354371.0127029431,122247.76863698622,43396.63711911358,11333.0,1219.648651672821,5565480.62
14,prod,7780077.305504872,27349.620000000054,1905069.3300000003,37254775.62,11457941.00341729,294857.0,65069.35,1384.0,2743.0,3195.0,63.0,7279705.0,1282097.6001859033,255630.0,54067.0,62202.08123531387,67726225.91
14,water,5306897808.21426,10127760.021890251,225528433.78207502,2736455434.418306,730483047.0931288,85808000.0,69574464.14472346,1305000.0,4957000.0,8432000.0,114000.0,706962000.0,146624156.5848108,69857000.0,16827000.0,10900000.0,10130853104.26
14,area,2824499.287307454,19890.74181675386,161330.81048922925,1260916.1095499143,713254.0180060291,55734.0,48877.649438075685,1360.0,2700.0,3331.0,85.0,336782.0,94558.35056192431,29759.0,11333.0,1219.648651672821,5565630.62
15,prod,7762414.9364699805,27349.620000000006,1905069.3299999996,37254775.62,11437332.018285515,294857.0,65069.35,1384.0,2743.0,3195.0,63.0,7279705.0,1383768.9846833332,268872.0,54067.0,62202.08123531387,67802867.94
15,water,5294768676.971528,11394974.356164385,220343433.78207496,2745269712.626771,728780926.2062002,85808000.0,70271338.495536,1305000.0,4957000.0,8432000.0,114000.0,706962000.0,161068507.47553128,73642000.0,16827000.0,10900000.0,10140844569.91
15,area,2815213.731962778,20150.372000000003,158748.81048922922,1265055.019974313,711964.0327430598,55734.0,48877.15722832531,1360.0,2700.0,3331.0,85.0,336782.0,101863.84277167468,31213.0,11333.0,1219.648651672821,5565630.62
20,prod,7854833.790685349,27622.239999999994,1924437.6600000001,37627180.24000001,11469361.445335101,300911.5800000001,65729.70000000001,1123.0,2798.0399999999904,3321.6199999999953,66.92000000000745,7157414.989302429,1697525.7400000005,286621.0,5086.0,62202.08123531387,68486236.05
20,water,5074503241.003524,2988519.680638722,203580260.2809757,3112101057.3330746,111238131.43347602,179555959.06380135,73923946.44628102,957000.0,3806857.1428571297,8312335.999999987,126840.00000001489,1153598482.8392415,119795216.50653557,55060827.2853711,1340000.0,10900000.0,10111788675.02
20,area,2740204.820119378,15740.128063872253,149345.49750951093,1393716.1642469515,555290.0161193464,164357.71856379363,52686.383388429764,1066.0,2755.2128571428475,3236.6199999999953,94.102068965527,360493.76677071344,96363.8947757271,26692.64268554811,943.0,1219.648651672821,5564205.62
21,prod,7854833.790685347,27622.239999999994,1924437.6600000001,37627180.239999995,11469361.445335098,300911.5800000001,65729.70000000001,1316.0,3232.0399999999904,3321.6199999999953,66.91999999999634,7475186.779999998,1697525.7400000005,286621.00000000006,26065.0,62202.08123531387,68825613.84
21,water,4583098536.934438,2866519.680638722,204831993.46180308,5132669307.63034,281114874.8216525,100963819.69004896,74520410.90909092,1135000.0,4703857.14285713,8368135.999999987,126839.99999999268,1031480613.8060691,144392025.02134508,61035729.54861549,7724000.0,10900000.0,11649931664.65
21,area,2697561.6221034247,15521.128063872253,152307.38287308023,1394145.836207055,678093.9610383487,54077.42366231649,53167.7172727273,1264.0,3334.2128571428475,3258.6199999999953,94.10206896551244,368775.28936636244,106466.89734833423,29685.77430775066,5232.0,1219.648651672821,5564205.62
22,prod,7525771.639207322,28349.239999999994,1924437.6600000001,37627180.239999995,11469361.445335098,300911.5800000001,65729.7,1319.0,3232.0399999999904,3321.6199999999953,79.91999999999634,7475186.779999999,1697525.74,286621.0,32288.0,62202.08123531387,68503517.69
22,water,4359755038.5826845,2986519.680638722,211102993.46180308,5164457632.554918,306540619.62761635,105334710.57056463,70792346.44628099,1137000.0,4927857.14285713,8786535.999999987,148839.99999999267,854260324.0224284,144516963.65486252,61029973.44797066,9617000.0,10900000.0,11316294355.19
22,area,2567030.247180247,15932.128063872253,155854.7821237024,1493546.7687691734,697580.0181137266,63342.8785920901,53270.18338842975,1266.0,3469.2128571428475,3457.6199999999953,108.10206896551244,365349.72215728776,106587.57986940918,29689.723985333163,6501.0,1219.648651672821,5564205.62
23,prod,7854833.790685348,28349.239999999994,1924437.6600000001,37627180.24,11469361.4453351,300911.5800000001,65729.69999999998,1336.7474747474748,3232.0399999999904,3321.6199999999953,79.91999999999634,7475186.779999998,1697525.7400000005,286620.9999999999,42095.0,62202.08123531387,68842404.58
23,water,4955685831.715051,5919519.680638722,193496361.02349964,4901174299.59598,288044358.83011055,105416904.67791352,66438744.79338842,1167323.2323232323,4927857.14285713,8786535.999999987,148839.99999999267,792639052.9801465,144605642.2550122,61004543.052218966,12593000.0,10900000.0,11552948814.98
23,area,2683637.6284738574,18226.128063872253,142937.16670969123,1389551.9488661436,698890.0595473564,63414.31227489756,52166.033801652884,1288.0,3469.2128571428475,3457.6199999999953,108.10206896551244,360601.2612795058,106676.96711679958,30065.526109495506,8496.0,1219.648651672821,5564205.62
25,prod,7803203.23819614,28349.239999999994,1924437.6600000004,37627180.24,11469361.4453351,300911.5800000002,65729.70000000001,1384.0,2798.0399999999977,3321.6200000000026,79.92000000000189,7475186.779999999,1697525.7400000002,286621.0,55334.36750593825,62202.08123531387,68803626.65
25,water,4778116617.113916,4134519.680638722,260361748.13546872,4779755810.848661,426447157.64294785,112682606.52409187,78778744.79338844,1305000.0,7743857.14285714,8786536.000000007,153840.00000000378,920979206.3945427,185273626.81244165,110242217.05140044,17202381.10290814,10900000.0,11702863869.24
25,area,2760132.8467370057,18800.128063872253,178337.1327721469,1249139.3940958965,695037.3314839484,69449.86022977761,58999.93988712079,1360.0,4792.212857142855,3457.6200000000026,111.10206896551972,363041.26568700536,106162.3379869241,43843.70138504155,11586.093914532112,1219.648651672821,5565470.62
27,prod,7344499.323623849,28349.239999999994,1924437.6600000004,37497172.45088145,11469361.445335098,300911.58000000013,65729.70000000001,1384.0,2798.04000000002,3321.6199999999953,79.92000000000745,7475186.779999999,1697525.74,286621.0,54067.0,62202.08123531387,68213647.58
27,water,7552850221.332211,2986519.680638722,240020226.22592407,2491567307.714734,261193014.8464364,113558626.04026583,65583744.79338844,1305000.0,6778857.14285717,8786535.999999987,148840.0000000149,841665965.260364,137381642.25501218,55859755.08913896,16827000.0,10900000.0,11807413256.38
27,area,2840685.5049300822,15932.128063872253,169587.54857886521,1182536.8719361278,713357.110153703,70189.02180022284,51799.0338016529,1360.0,4420.212857142877,3457.6199999999953,108.102068965527,359563.3012924682,110172.96711679957,28483.54456947781,11333.0,1219.648651672821,5564205.62
29,prod,7801454.703924474,29234.24000000001,1924437.6600000004,37627180.24,11469361.445335107,300911.5800000002,65729.7,1384.0,2743.0,3195.0,63.0,7475186.779999999,1697525.7400000002,286621.0,54067.0,62202.08123531387,68801297.17
29,water,4950473462.090489,6971060.24759285,236884901.4563494,4988869158.138224,856232759.3664052,114681756.46639884,78983871.90082642,1305000.0,4957000.0,8432000.0,114000.0,839236513.1640966,246632040.31647515,108360727.48538011,16827000.0,10900000.0,12469861250.63
29,area,2794379.6934740124,22174.581348005508,168703.30685427325,1335430.2096310174,574804.7732537802,71306.17904368762,51282.98595041322,1360.0,2700.0,3331.0,85.0,359410.25069156336,124124.80797525901,43835.17894736842,11333.0,1219.648651672821,5565480.62
31,prod,7774013.810841825,27622.24000000001,1924437.6600000004,37627180.24,11469361.4453351,300911.5800000001,65729.70000000001,1384.0,2743.0,3195.0,63.0,7475186.779999999,1697525.7400000005,286620.99999999994,54067.0,62202.08123531387,68772244.28
31,water,6234503009.388315,4488060.24759285,236884901.4563494,2902066019.9963937,729463590.2618266,88251952.88147056,78327615.70247936,1305000.0,4957000.0,8432000.0,114000.0,780384962.2523549,244737356.004721,106736417.23607261,16827000.0,10900000.0,11448378885.43
31,area,2784211.4505852214,16604.581348005508,168703.30685427325,1302279.9245143002,643701.3392831767,57725.86017009508,51041.35785123968,1360.0,2700.0,3331.0,85.0,354144.26751578576,123822.61699742102,43367.262049861485,11333.0,1219.648651672821,5565630.62
33,prod,7858872.075504871,27622.24000000001,1924437.6600000004,37627180.24,11173577.228748348,294317.0,60792.0,1384.0,2743.0,3195.0,63.0,7073932.0,1202363.0,239385.0,54067.0,62202.08123531387,67606132.53
