sol_index,Water,Area,Production,Target Achivement %,Normal Achivement %,solution target Percentage,city skip
9,12462049454.87,5853110.45,73379798.97,99.53,100.0,1.01,11
7,11295679880.72,5900684.77,72947901.06,99.48,100.0,1.01,9
29,12591789221.14,5865955.49,74047502.83,98.96,100.0,1.02,11
31,11570306855.94,5916346.77,74018264.94,98.85,100.0,1.02,13
47,12336532186.59,5911882.18,74528237.8,98.8,100.0,1.03,9
27,11930076570.42,5900684.77,73463891.53,98.73,100.0,1.02,9
39,10316770759.78,5911513.36,72663983.65,98.5,100.0,1.02,21
59,10215627911.22,5916565.77,73906037.36,97.43,100.0,1.03,21
5,11646856063.04,5855852.75,73379682.42,93.77,94.12,1.01,7
6,12310449707.88,5900684.77,73040302.86,93.65,94.12,1.01,8
25,11824804723.36,5902459.86,74049890.27,93.31,94.12,1.02,7
48,10940341470.81,5915166.94,74830041.44,93.09,94.12,1.03,10
46,10984196898.07,5826851.88,73818911.64,92.75,94.12,1.03,8
38,10286923377.6,5914330.27,72697308.2,92.73,94.12,1.02,20
66,11474007379.67,5836976.76,74087528.95,92.31,94.12,1.04,8
67,10365047314.59,5915370.77,73886307.69,92.08,94.12,1.04,9
87,10578541607.73,5914809.77,76099149.03,91.88,94.12,1.05,9
58,10212225527.86,5916565.77,73878494.56,91.72,94.12,1.03,20
88,11104615000.61,5915220.77,76090240.81,91.6,94.12,1.05,10
3,12079622543.51,5666008.04,73367421.51,87.89,88.24,1.01,5
43,11802648266.22,5752907.41,74817862.56,87.55,88.24,1.03,5
42,11495795067.58,5801047.71,74808024.81,87.55,88.24,1.03,4
23,11675612129.02,5709457.72,74092648.53,87.54,88.24,1.02,5
21,11772594978.69,5843764.42,74075857.78,87.54,88.24,1.02,3
22,11438957669.23,5760933.35,73753761.63,87.43,88.24,1.02,4
62,11448324883.51,5856291.7,75532804.84,87.33,88.24,1.04,4
45,9750462899.57,5905863.77,74478063.2,87.21,88.24,1.03,7
63,11711561217.14,5800742.21,75542629.59,87.1,88.24,1.04,5
51,10395168044.32,5914844.77,74047759.21,87.04,88.24,1.03,13
82,11669987363.39,5913095.08,76258452.86,86.55,88.24,1.05,4
70,10486994284.42,5915634.77,74289900.9,86.43,88.24,1.04,12
83,11329180758.35,5823223.21,75403137.57,85.99,88.24,1.05,5
86,10411462000.6,5915073.77,74441476.11,85.43,88.24,1.05,8
14,10252781074.77,5877596.86,72972246.57,81.83,82.35,1.01,16
15,10262772540.42,5880178.86,73048888.6,81.77,82.35,1.01,17
20,10234451989.06,5778855.62,73736479.99,81.55,82.35,1.02,2
41,9586989524.45,5915836.77,74434798.56,81.32,82.35,1.03,3
40,10272668186.08,5781182.12,73973678.26,81.32,82.35,1.03,2
65,9786222979.88,5906228.77,74672939.38,81.22,82.35,1.04,7
35,10282435546.28,5913774.77,73395556.44,81.2,82.35,1.02,17
44,9947153488.46,5914122.77,74185311.96,81.15,82.35,1.03,6
60,10350545250.77,5783508.61,74210876.52,81.0,82.35,1.04,2
71,10417870187.12,5915475.77,74144895.69,80.77,82.35,1.04,13
55,10296850983.51,5913774.77,73599716.18,80.47,82.35,1.03,17
91,10434075917.43,5915475.77,74046511.56,80.39,82.35,1.05,13
90,10503053834.43,5915885.77,74309709.11,80.39,82.35,1.05,12
80,10343341850.46,5785835.11,74441615.81,80.39,82.35,1.05,2
57,10206899303.77,5916565.77,73767523.81,80.3,82.35,1.03,19
56,10198951045.65,5916565.77,73739149.34,80.3,82.35,1.03,18
77,10268580211.92,5916565.77,74394383.63,79.64,82.35,1.04,19
76,10260631953.8,5916565.77,74366009.17,79.64,82.35,1.04,18
34,10260342760.44,5910730.77,73175144.6,75.32,76.47,1.02,16
61,9628714950.23,5915836.77,74638423.57,75.11,76.47,1.04,3
85,9817604663.23,5915333.39,75028118.06,74.79,76.47,1.05,7
64,10032512109.13,5915634.77,73469518.84,74.66,76.47,1.04,6
54,10275045968.93,5910730.77,73385372.91,74.59,76.47,1.03,16
81,9764406796.04,5915836.77,74842916.57,74.51,76.47,1.05,3
75,10302203106.08,5910730.77,73921186.36,73.98,76.47,1.04,17
74,10289749177.43,5910730.77,73595601.23,73.98,76.47,1.04,16
95,10316906314.57,5910730.77,74131414.67,73.39,76.47,1.05,17
94,10304452385.92,5910730.77,73805829.54,73.39,76.47,1.05,16
52,9987847268.24,5910724.77,72864307.27,68.87,70.59,1.03,14
84,10313176206.45,5915634.77,73990796.76,68.63,70.59,1.05,6
33,10198587963.21,5908358.77,72895380.93,63.9,64.71,1.02,15
53,10396657910.86,5908358.77,72791320.22,63.51,64.71,1.03,15
73,10246566343.48,5910730.77,72695068.86,62.9,64.71,1.04,15
72,9996948986.04,5907502.77,73165624.91,62.67,64.71,1.04,14
92,10011594334.4,5907502.77,73376458.51,62.18,64.71,1.05,14
93,10268176392.07,5910730.77,72733617.84,61.9,64.71,1.05,15
