water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4738801199.75,-628334800.25,2856066.0,2793423.94,-62642.06,7879477.0,8015810.88,136333.88,Wheat
15098000.0,2894543.49,-12203456.51,20603.0,15815.46,-4787.54,27262.0,28079.86,817.86,Barley
225658000.0,256067496.25,30409496.25,164037.0,191545.22,27508.22,1936833.0,1994937.99,58104.99,Forestation Alfalfa
4765948000.0,2848134300.02,-1917813699.98,1330370.0,1317729.78,-12640.22,37240462.0,38357675.86,1117213.86,Sustains Alfalfa
997737000.0,440047869.69,-557689130.31,735926.12,780850.61,44924.49,12458799.65,12832563.64,373763.99,vegetables
86172000.0,80586310.55,-5585689.45,58733.0,64366.52,5633.52,302729.0,311810.87,9081.87,Medical and Aromatic plants
78122000.0,66668347.77,-11453652.23,49777.0,54085.77,4308.77,66035.0,68016.05,1981.05,fully grown Beans
1485000.0,1485000.0,0.0,1561.0,1561.0,0.0,1585.0,1585.0,0.0,lentils
4960000.0,4161642.75,-798357.25,2711.0,2919.74,208.74,2752.0,2788.7,36.7,Fenugreek
13789000.0,13789000.0,0.0,5600.0,5600.0,0.0,6331.0,6331.0,0.0,chickpeas
147000.0,147000.0,0.0,245.0,245.0,0.0,196.0,196.0,0.0,Lupine
740683000.0,1179630136.27,438947136.27,470998.0,515208.17,44210.17,9774089.0,10067311.67,293222.67,sugar Beet
240018000.0,278425641.93,38407641.93,163687.0,145379.9,-18307.1,2539637.0,2347220.35,-192416.65,Fully grown Onions
79471000.0,3702000.0,-75769000.0,41433.0,10871.0,-30562.0,286800.0,19661.0,-267139.0,Garlic
19539000.0,19317000.0,-222000.0,13438.0,13290.0,-148.0,66266.0,65588.0,-678.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
