Trace Algorithm
Goverment/Crop,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others
Cairo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damietta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakahlia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharkia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quliubiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kafrelsheikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gharbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoufia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behaira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismailia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benisweif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayoum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sohag,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Qena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aswan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
